,Landmark Name,Latitude,Longitude,Number of EV charger station,Name and distance of each station
47,Batman Park,-37.8218460949601,144.956665812218,31,"Lonsdale St: 937m, Bourke St: 786m, South Melbourne: 948m, Secure Parking (450 Flinders Lane): 394m, Hyatt Centric Melbourne: 177m, Alto Hotel: 647m, Holiday Inn Express Melbourne Little Collins: 460m, Lonsdale St: 984m, Flinders Ln: 399m, Holiday Inn Express Melbourne Southbank: 877m, Rialto Car Park: 316m, Melbourne Convention Exhibition Centre: 569m, Crown Metropol Melbourne: 417m, Wilson Parking Eureka: 748m, Southbank: 942m, Wilson Parking: 786m, Southbank: 856m, Secure Parking - 460 Lonsdale Street Car Park: 989m, Downie St: 206m, Southbank: 658m, Southbank: 739m, Bourke St: 629m, Secure Parking (300 Flinders St): 758m, Collins St: 466m, Queens & Collins: 781m, South Wharf: 464m, Flagstaff Car Park: 974m, Flinders Ln: 339m, The Arts Centre: 971m, Bourke St: 716m, Flinders St: 772m, "
48,Melbourne Town Hall,-37.8150754791411,144.966542722283,40,"Lonsdale St: 949m, Bourke St: 887m, Secure Parking (450 Flinders Lane): 789m, Park Hyatt Melbourne: 911m, Wilson Parking: 435m, Collins St: 312m, Lonsdale St: 623m, 300 Latrobe Street - Wilson Car Park: 764m, Lonsdale St: 496m, Lonsdale St: 764m, Flinders Ln: 797m, Holiday Inn Express Melbourne Southbank: 758m, Rialto Car Park: 903m, Russell St: 377m, Russell St: 435m, Wilson Parking Eureka: 749m, Southbank: 688m, Flinders St: 406m, Wilson Parking: 887m, Southbank: 632m, Secure Parking - 460 Lonsdale Street Car Park: 754m, Secure Parking (Southern Cross): 392m, Southbank: 722m, Parliament PI: 976m, Southbank: 654m, ACDC Garage: 391m, Melbourne Central Carpark: 456m, Lonsdale St: 489m, Secure Parking (300 Flinders St): 418m, Bourke St: 506m, Queens & Collins: 454m, Lonsdale St: 646m, Grand Hyatt Melbourne: 277m, Federation Square Car Park: 511m, Flagstaff Car Park: 972m, Flinders Ln: 885m, The Arts Centre: 855m, Bourke St: 623m, Flinders St: 397m, QV Melbourne - Car Park: 489m, "
49,Sidney Myer Music Bowl,-37.8233471608733,144.974686151365,9,"Holiday Inn Express Melbourne Southbank: 724m, Wilson Parking Eureka: 854m, Southbank: 685m, Flinders St: 859m, Southbank: 789m, Southbank: 897m, ACDC Garage: 867m, Federation Square Car Park: 691m, The Arts Centre: 620m, "
50,AAMI Park,-37.8247252673963,144.98380297866,2,"Pullman Melbourne on the Park: 972m, Pullman Melbourne: 992m, "
51,Melbourne Star Observation Wheel,-37.8116163666726,144.937588920436,4,"District Docklands Shopping - West Carpark: 148m, Docklands: 132m, Docklands: 155m, Docklands: 189m, "
52,Margaret Court Arena,-37.8213252086842,144.977591098955,10,"Collins St: 966m, Holiday Inn Express Melbourne Southbank: 963m, Southbank: 899m, Flinders St: 815m, Southbank: 992m, Pullman Melbourne on the Park: 772m, ACDC Garage: 828m, Pullman Melbourne: 788m, Federation Square Car Park: 682m, The Arts Centre: 885m, "
53,NGV International,-37.8230135000869,144.969342535451,14,"Collins St: 897m, Holiday Inn Express Melbourne Southbank: 267m, South Melbourne: 988m, Wilson Parking Eureka: 392m, Southbank: 263m, Flinders St: 769m, Southbank: 365m, Southbank: 454m, ACDC Garage: 769m, Secure Parking (300 Flinders St): 705m, Grand Hyatt Melbourne: 909m, Federation Square Car Park: 610m, The Arts Centre: 150m, Flinders St: 725m, "
54,Birrarung Marr,-37.81806108403,144.97314667014,24,"Park Hyatt Melbourne: 730m, Wilson Parking: 886m, Collins St: 436m, Lonsdale St: 940m, Holiday Inn Express Melbourne Southbank: 712m, Russell St: 844m, Russell St: 886m, Wilson Parking Eureka: 809m, Southbank: 618m, Flinders St: 282m, Southbank: 671m, Secure Parking (Southern Cross): 699m, Pullman Melbourne on the Park: 915m, Parliament PI: 828m, Southbank: 780m, ACDC Garage: 295m, Pullman Melbourne: 921m, Secure Parking (300 Flinders St): 802m, Bourke St: 689m, Lonsdale St: 906m, Grand Hyatt Melbourne: 469m, Federation Square Car Park: 167m, The Arts Centre: 706m, Flinders St: 802m, "
55,Artplay,-37.8184198800044,144.971542586509,25,"Park Hyatt Melbourne: 826m, Wilson Parking: 857m, Collins St: 404m, Lonsdale St: 943m, Holiday Inn Express Melbourne Southbank: 577m, Russell St: 809m, Russell St: 857m, Wilson Parking Eureka: 668m, Southbank: 482m, Flinders St: 251m, Southbank: 528m, Secure Parking (Southern Cross): 686m, Parliament PI: 922m, Southbank: 635m, ACDC Garage: 257m, Lonsdale St: 964m, Secure Parking (300 Flinders St): 661m, Bourke St: 703m, Queens & Collins: 925m, Lonsdale St: 920m, Grand Hyatt Melbourne: 429m, Federation Square Car Park: 79m, The Arts Centre: 586m, Flinders St: 663m, QV Melbourne - Car Park: 964m, "
56,Riverslide Skate Park,-37.8207887122448,144.972951789291,15,"Collins St: 694m, Holiday Inn Express Melbourne Southbank: 567m, Wilson Parking Eureka: 690m, Southbank: 493m, Flinders St: 539m, Southbank: 583m, Secure Parking (Southern Cross): 974m, Southbank: 700m, ACDC Garage: 546m, Secure Parking (300 Flinders St): 833m, Bourke St: 981m, Grand Hyatt Melbourne: 720m, Federation Square Car Park: 369m, The Arts Centre: 511m, Flinders St: 843m, "
